"107年08月24日每5秒委託成交統計"
"時間","累積委託買進筆數","累積委託買進數量","累積委託賣出筆數","累積委託賣出數量","累積成交筆數","累積成交數量","累積成交金額",
="09:00:00","172,222","2,887,096","171,512","1,079,843","0","0","0",
="09:00:05","173,884","2,894,446","172,874","1,081,783","7,020","24,378","1,354",
="09:00:10","175,882","3,114,947","174,487","1,248,677","10,552","34,171","1,792",
="09:00:15","177,697","3,243,668","176,091","1,388,205","12,739","39,760","2,046",
="09:00:20","179,263","3,306,532","177,476","1,464,148","14,665","45,820","2,224",
="09:00:25","180,489","3,312,578","178,629","1,471,955","15,791","49,701","2,348",
="09:00:30","181,856","3,335,788","179,773","1,490,859","16,714","51,976","2,455",
="09:00:35","183,529","3,387,621","181,317","1,521,633","17,447","53,931","2,543",
="09:00:40","184,920","3,420,290","182,783","1,549,000","18,178","55,777","2,628",
="09:00:45","188,005","3,579,137","185,882","1,687,496","18,746","58,002","2,722",
="09:00:50","192,131","3,803,624","190,186","1,908,157","19,444","60,460","2,816",
="09:00:55","194,721","3,891,467","192,881","1,978,952","20,119","63,505","2,888",
="09:01:00","196,406","3,904,468","194,632","1,988,024","20,766","66,157","2,955",
="09:01:05","199,619","4,114,483","197,890","2,154,102","21,469","68,645","3,046",
="09:01:10","202,576","4,236,079","201,066","2,257,724","22,280","73,099","3,135",
="09:01:15","205,553","4,333,538","204,032","2,326,791","23,072","76,395","3,233",
="09:01:20","207,843","4,407,249","206,323","2,368,956","23,847","79,898","3,326",
="09:01:25","210,030","4,487,831","208,612","2,421,089","24,535","83,333","3,402",
="09:01:30","212,846","4,571,127","211,330","2,454,251","25,188","87,557","3,511",
="09:01:35","215,364","4,735,836","213,912","2,546,120","25,917","91,495","3,612",
="09:01:40","218,342","4,923,300","216,940","2,667,328","26,637","95,410","3,703",
="09:01:45","220,612","5,030,175","219,082","2,740,787","27,188","97,599","3,763",
="09:01:50","223,528","5,182,047","221,991","2,860,141","27,867","101,980","3,834",
="09:01:55","225,992","5,237,098","224,539","2,894,134","28,591","107,403","3,933",
="09:02:00","228,354","5,321,997","226,779","2,960,503","29,318","111,388","4,016",
="09:02:05","232,521","5,557,766","230,847","3,129,261","30,036","116,352","4,108",
="09:02:10","236,463","5,897,789","234,605","3,336,131","30,968","121,613","4,217",
="09:02:15","239,675","5,981,773","237,805","3,401,444","31,614","125,290","4,295",
="09:02:20","243,414","6,186,346","241,413","3,527,391","32,430","130,994","4,373",
="09:02:25","246,647","6,334,833","244,660","3,614,640","33,029","135,136","4,440",
="09:02:30","249,006","6,448,232","246,969","3,640,723","33,702","139,157","4,514",
="09:02:35","252,382","6,620,350","250,341","3,757,330","34,360","144,265","4,585",
="09:02:40","256,436","6,824,676","254,097","3,909,822","35,048","150,130","4,688",
="09:02:45","259,850","7,012,941","257,621","4,043,103","35,729","154,441","4,766",
="09:02:50","263,758","7,357,284","261,473","4,172,580","36,419","159,122","4,842",
="09:02:55","267,672","7,573,404","265,413","4,305,039","37,219","165,928","4,920",
="09:03:00","271,183","7,901,561","268,998","4,421,591","37,939","171,587","4,998",
="09:03:05","275,234","8,280,946","273,209","4,700,246","38,618","176,659","5,074",
="09:03:10","278,590","8,409,588","276,806","4,784,655","39,384","181,326","5,162",
="09:03:15","282,380","8,515,515","280,684","4,844,627","40,035","186,415","5,231",
="09:03:20","285,014","8,570,018","283,373","4,882,356","40,666","190,457","5,289",
="09:03:25","288,336","8,579,636","286,934","4,894,477","41,272","195,268","5,340",
="09:03:30","291,287","8,638,453","289,709","4,956,439","41,962","202,536","5,412",
="09:03:35","293,934","8,685,124","292,655","5,015,352","42,635","208,472","5,484",
="09:03:40","296,877","8,714,401","295,839","5,040,249","43,288","212,621","5,536",
="09:03:45","300,341","8,749,674","299,332","5,061,438","43,991","219,060","5,612",
="09:03:50","303,290","8,821,627","302,284","5,113,611","44,620","223,404","5,688",
="09:03:55","306,666","8,858,587","305,781","5,128,518","45,213","227,272","5,755",
="09:04:00","309,557","8,881,959","308,617","5,142,060","45,815","232,440","5,817",
="09:04:05","312,681","9,092,104","311,950","5,280,942","46,481","236,014","5,882",
="09:04:10","316,291","9,126,034","315,374","5,304,595","47,124","242,570","5,948",
="09:04:15","319,215","9,151,409","318,348","5,319,274","47,677","247,539","6,016",
="09:04:20","322,855","9,191,263","321,972","5,372,409","48,415","258,147","6,087",
="09:04:25","325,595","9,239,302","324,677","5,382,837","49,122","266,168","6,174",
="09:04:30","329,789","9,346,519","328,788","5,427,484","49,932","274,648","6,262",
="09:04:35","332,650","9,342,834","331,852","5,445,002","50,633","280,859","6,356",
="09:04:40","336,169","9,387,609","335,756","5,475,147","51,366","287,070","6,431",
="09:04:45","338,309","9,441,884","338,442","5,497,756","52,038","292,662","6,511",
="09:04:50","341,340","9,466,808","341,707","5,518,451","52,702","297,538","6,585",
="09:04:55","344,459","9,466,735","345,016","5,513,808","53,290","301,777","6,641",
="09:05:00","347,445","9,471,240","348,342","5,520,669","53,971","307,738","6,737",
="09:05:05","351,742","9,936,035","352,558","5,805,852","54,879","314,013","6,806",
="09:05:10","355,060","10,109,628","356,054","5,898,930","55,474","320,369","6,867",
="09:05:15","358,039","10,186,980","359,080","5,926,138","56,083","323,604","6,920",
="09:05:20","360,437","10,261,117","361,678","5,957,422","57,095","330,139","6,991",
="09:05:25","362,967","10,350,097","364,369","5,976,033","57,618","333,450","7,032",
="09:05:30","365,663","10,416,125","367,199","6,005,056","58,132","337,931","7,075",
="09:05:35","368,146","10,526,241","369,880","6,034,205","58,726","343,239","7,139",
="09:05:40","370,714","10,581,117","372,800","6,049,610","59,299","346,524","7,190",
="09:05:45","373,487","10,672,629","375,711","6,069,148","59,905","351,464","7,248",
="09:05:50","376,161","10,742,353","378,593","6,105,025","60,542","356,550","7,308",
="09:05:55","379,530","10,846,396","381,793","6,139,622","61,168","360,832","7,368",
="09:06:00","382,492","10,945,456","384,869","6,168,610","61,812","366,034","7,422",
="09:06:05","386,360","11,284,293","388,590","6,325,578","62,346","369,652","7,480",
="09:06:10","389,308","11,561,192","391,839","6,463,176","62,925","373,919","7,531",
="09:06:15","392,182","11,651,329","394,878","6,493,202","63,468","376,694","7,582",
="09:06:20","396,544","12,269,957","399,234","6,885,340","64,096","382,434","7,637",
="09:06:25","399,989","12,357,228","402,861","6,914,368","64,835","388,495","7,695",
="09:06:30","402,793","12,422,022","405,832","6,944,203","65,345","391,277","7,753",
="09:06:35","405,523","12,515,152","408,851","6,970,676","65,946","395,240","7,811",
="09:06:40","408,403","12,587,176","411,837","6,989,846","66,505","398,684","7,891",
="09:06:45","411,273","12,608,153","414,956","7,000,646","67,125","403,106","7,945",
="09:06:50","413,740","12,693,849","417,514","7,018,392","67,690","407,253","7,996",
="09:06:55","416,258","12,775,524","420,517","7,050,806","68,227","410,001","8,044",
="09:07:00","418,855","12,820,613","423,248","7,056,673","68,857","414,282","8,101",
="09:07:05","421,673","12,884,380","426,384","7,068,651","69,426","419,223","8,159",
="09:07:10","424,583","12,933,988","429,719","7,081,716","70,031","424,892","8,237",
="09:07:15","427,443","13,008,451","433,044","7,106,662","70,618","429,902","8,303",
="09:07:20","430,760","13,097,686","436,506","7,126,089","71,217","434,476","8,364",
="09:07:25","433,702","13,168,044","439,727","7,162,364","71,803","438,437","8,435",
="09:07:30","436,009","13,258,852","442,340","7,187,621","72,343","443,490","8,496",
="09:07:35","438,790","13,321,450","445,453","7,210,918","72,927","449,723","8,559",
="09:07:40","442,047","13,341,789","449,181","7,212,200","73,611","456,752","8,626",
="09:07:45","444,530","13,397,521","452,132","7,232,493","74,148","459,674","8,670",
="09:07:50","446,828","13,482,056","454,697","7,263,868","74,670","462,587","8,733",
="09:07:55","449,259","13,608,260","457,357","7,309,933","75,204","466,285","8,798",
="09:08:00","451,810","13,642,029","460,221","7,312,858","75,725","471,119","8,847",
="09:08:05","455,103","13,724,200","463,783","7,344,331","76,279","475,593","8,905",
="09:08:10","458,786","13,961,584","467,608","7,481,082","76,933","481,720","8,965",
="09:08:15","462,030","14,080,853","470,979","7,524,458","77,463","486,159","9,008",
="09:08:20","464,831","14,209,392","474,072","7,577,092","77,995","490,116","9,054",
="09:08:25","467,475","14,278,624","477,242","7,602,289","78,564","494,675","9,103",
="09:08:30","469,933","14,336,427","479,980","7,628,939","79,062","497,070","9,156",
="09:08:35","472,803","14,361,426","483,046","7,629,985","79,580","501,438","9,210",
="09:08:40","475,035","14,381,169","485,415","7,649,606","80,002","503,906","9,249",
="09:08:45","477,457","14,409,920","488,188","7,658,491","80,476","506,857","9,317",
="09:08:50","480,004","14,398,178","490,912","7,667,807","80,973","510,588","9,381",
="09:08:55","482,800","14,358,908","494,138","7,664,371","81,695","517,425","9,469",
="09:09:00","485,453","14,372,475","497,174","7,668,399","82,212","520,724","9,528",
="09:09:05","488,086","14,375,788","500,370","7,677,760","82,900","528,659","9,602",
="09:09:10","490,818","14,384,683","503,496","7,679,591","83,421","532,291","9,679",
="09:09:15","492,961","14,392,262","505,979","7,687,259","83,977","535,939","9,749",
="09:09:20","495,711","14,393,012","509,049","7,691,336","84,518","539,204","9,807",
="09:09:25","498,164","14,402,358","511,831","7,698,115","85,062","543,367","9,897",
="09:09:30","500,858","14,424,032","514,922","7,708,471","85,600","546,291","9,968",
="09:09:35","503,946","14,402,040","517,923","7,706,328","86,326","555,984","10,060",
="09:09:40","506,129","14,476,631","520,276","7,749,757","86,860","559,696","10,113",
="09:09:45","508,453","14,540,478","522,745","7,773,286","87,374","561,879","10,179",
="09:09:50","510,793","14,543,071","525,357","7,763,271","87,940","566,094","10,251",
="09:09:55","513,819","14,522,196","528,689","7,767,547","88,655","572,155","10,345",
="09:10:00","516,790","14,527,620","531,737","7,754,602","89,267","577,990","10,416",
="09:10:05","519,930","14,659,057","534,729","7,817,616","89,880","583,383","10,467",
="09:10:10","522,463","14,657,179","537,323","7,816,780","90,522","591,267","10,538",
="09:10:15","524,609","14,713,171","539,769","7,833,495","91,065","594,520","10,601",
="09:10:20","526,417","14,724,365","542,130","7,841,497","91,645","600,949","10,666",
="09:10:25","529,137","14,742,948","545,011","7,854,371","92,235","606,412","10,727",
="09:10:30","531,970","14,742,363","548,004","7,858,300","93,035","612,729","10,827",
="09:10:35","534,702","14,741,084","550,877","7,863,548","93,754","619,032","10,923",
="09:10:40","537,232","14,770,527","553,474","7,857,703","94,306","622,715","10,990",
="09:10:45","539,534","14,795,927","555,959","7,881,596","94,840","626,492","11,063",
="09:10:50","542,291","14,810,179","558,909","7,887,813","95,452","631,526","11,118",
="09:10:55","544,648","14,812,128","561,747","7,893,474","95,972","634,960","11,182",
="09:11:00","546,806","14,833,492","564,217","7,909,134","96,525","637,968","11,248",
="09:11:05","549,775","14,859,705","567,364","7,926,349","97,085","640,965","11,321",
="09:11:10","552,800","14,875,812","570,918","7,945,342","97,726","646,720","11,379",
="09:11:15","555,560","14,901,444","573,915","7,940,872","98,315","650,904","11,456",
="09:11:20","557,450","14,895,070","576,334","7,944,732","98,976","655,472","11,530",
="09:11:25","560,183","14,852,746","579,170","7,940,647","99,587","663,548","11,595",
="09:11:30","562,239","14,856,099","581,634","7,947,117","100,152","666,957","11,664",
="09:11:35","564,198","14,872,237","583,892","7,945,184","100,760","672,080","11,736",
="09:11:40","566,564","14,851,782","586,300","7,949,469","101,316","676,068","11,796",
="09:11:45","569,159","14,865,421","589,026","7,961,838","101,881","679,552","11,850",
="09:11:50","570,926","14,865,517","591,049","7,972,150","102,346","682,555","11,896",
="09:11:55","573,417","14,908,673","593,747","7,975,698","102,829","684,584","11,953",
="09:12:00","575,268","14,925,722","595,701","7,989,931","103,292","687,169","11,996",
="09:12:05","577,850","14,952,393","598,448","7,998,218","103,979","697,795","12,071",
="09:12:10","580,121","14,973,740","600,791","8,031,212","104,548","702,006","12,136",
="09:12:15","582,377","14,947,156","603,298","8,031,163","105,054","706,743","12,204",
="09:12:20","584,649","14,967,226","605,520","8,041,374","105,557","711,630","12,272",
="09:12:25","588,287","14,981,830","609,324","8,043,233","106,103","718,584","12,343",
="09:12:30","591,470","15,007,287","612,406","8,067,772","106,662","723,752","12,394",
="09:12:35","593,680","15,037,653","614,946","8,070,380","107,090","727,547","12,429",
="09:12:40","595,967","15,066,558","617,740","8,085,954","107,485","732,230","12,464",
="09:12:45","598,559","15,049,132","620,561","8,078,726","107,905","734,835","12,506",
="09:12:50","601,180","15,038,604","623,410","8,096,351","108,370","738,945","12,551",
="09:12:55","603,775","15,067,092","626,279","8,102,105","108,937","742,845","12,613",
="09:13:00","605,755","15,093,827","628,600","8,119,434","109,490","747,440","12,665",
="09:13:05","608,609","15,145,227","631,878","8,165,599","110,065","754,278","12,726",
="09:13:10","611,487","15,240,959","635,025","8,219,456","110,537","759,978","12,773",
="09:13:15","613,832","15,305,208","637,669","8,275,264","111,091","764,185","12,854",
="09:13:20","616,981","15,404,225","641,037","8,331,650","111,663","768,196","12,928",
="09:13:25","619,597","15,495,443","643,956","8,404,255","112,205","771,018","12,987",
="09:13:30","622,761","15,562,524","647,334","8,431,801","112,743","775,497","13,045",
="09:13:35","628,045","15,672,239","650,578","8,597,678","113,204","778,778","13,085",
="09:13:40","631,717","16,122,667","654,093","8,752,352","113,572","782,643","13,142",
="09:13:45","634,536","16,245,692","657,185","8,835,570","113,966","785,399","13,186",
="09:13:50","637,073","16,346,609","659,941","8,905,476","114,368","788,644","13,234",
="09:13:55","639,651","16,432,458","662,856","8,964,600","114,831","792,407","13,280",
="09:14:00","642,806","16,493,645","666,344","9,009,121","115,417","798,925","13,341",
="09:14:05","645,878","16,632,217","669,084","9,090,505","115,950","802,961","13,386",
="09:14:10","649,103","16,727,251","672,372","9,141,031","116,474","808,379","13,431",
="09:14:15","651,580","16,831,513","675,110","9,205,645","116,941","812,559","13,470",
="09:14:20","653,572","16,911,295","677,520","9,261,072","117,401","816,225","13,523",
="09:14:25","655,657","16,982,601","679,758","9,315,408","117,804","820,238","13,564",
="09:14:30","657,496","17,107,522","681,884","9,406,093","118,249","823,430","13,603",
="09:14:35","659,602","17,167,868","684,313","9,429,546","118,707","826,989","13,644",
="09:14:40","661,506","17,207,968","686,487","9,440,246","119,101","829,140","13,683",
="09:14:45","663,331","17,207,475","688,675","9,436,555","119,530","832,041","13,722",
="09:14:50","665,276","17,233,025","690,866","9,444,597","119,901","834,340","13,757",
="09:14:55","666,685","17,251,136","692,645","9,457,132","120,257","835,741","13,791",
="09:15:00","668,409","17,253,960","694,764","9,463,274","120,663","838,118","13,836",
="09:15:05","670,665","17,318,785","697,385","9,491,462","121,294","846,942","13,892",
="09:15:10","673,160","17,376,004","700,323","9,534,718","121,848","852,594","13,936",
="09:15:15","675,516","17,398,057","703,037","9,528,480","122,352","855,972","13,990",
="09:15:20","678,400","17,422,687","706,140","9,550,677","122,765","860,087","14,035",
="09:15:25","681,071","17,441,211","709,070","9,555,338","123,216","866,356","14,075",
="09:15:30","683,759","17,540,813","712,124","9,594,203","123,640","870,443","14,122",
="09:15:35","686,400","17,585,194","715,077","9,645,095","124,049","876,557","14,171",
="09:15:40","688,431","17,616,927","717,533","9,662,115","124,503","879,702","14,214",
="09:15:45","691,027","17,617,114","720,435","9,642,104","125,008","886,208","14,289",
="09:15:50","693,323","17,585,567","723,073","9,661,002","125,588","894,566","14,365",
="09:15:55","695,588","17,558,471","725,772","9,669,140","126,064","897,689","14,437",
="09:16:00","698,054","17,616,031","728,305","9,699,977","126,556","902,135","14,514",
="09:16:05","700,606","17,611,033","731,021","9,700,867","127,075","908,136","14,558",
="09:16:10","702,756","17,650,227","733,418","9,722,921","127,494","911,453","14,602",
="09:16:15","705,120","17,678,965","736,208","9,741,094","127,902","914,099","14,659",
="09:16:20","706,877","17,727,617","738,150","9,764,203","128,306","916,669","14,712",
="09:16:25","709,275","17,756,962","740,958","9,752,844","128,679","918,950","14,750",
="09:16:30","710,829","17,777,841","742,903","9,783,438","128,991","920,628","14,789",
="09:16:35","713,393","17,771,880","745,732","9,777,717","129,438","922,696","14,848",
="09:16:40","715,283","17,778,924","748,142","9,790,953","129,881","925,700","14,911",
="09:16:45","717,262","17,774,633","750,514","9,803,070","130,351","927,856","14,975",
="09:16:50","719,667","17,799,333","753,132","9,794,538","130,721","929,986","15,017",
="09:16:55","721,515","17,798,667","755,382","9,800,542","131,056","931,580","15,048",
="09:17:00","723,149","17,819,428","757,284","9,825,575","131,462","933,261","15,085",
="09:17:05","725,465","17,821,303","759,843","9,815,012","131,738","934,066","15,110",
="09:17:10","727,287","17,833,405","761,840","9,834,856","132,079","936,756","15,145",
="09:17:15","728,685","17,850,147","763,455","9,853,477","132,419","938,073","15,180",
="09:17:20","730,847","17,866,231","766,019","9,851,865","132,789","939,829","15,218",
="09:17:25","732,325","17,888,397","767,860","9,866,806","133,107","941,008","15,260",
="09:17:30","733,988","17,886,407","769,759","9,868,595","133,445","942,289","15,296",
="09:17:35","736,627","17,875,168","772,513","9,865,682","133,783","944,054","15,330",
="09:17:40","738,938","17,902,943","774,955","9,881,511","134,141","946,292","15,368",
="09:17:45","740,920","17,890,756","777,480","9,854,383","134,472","947,784","15,405",
="09:17:50","742,831","17,900,234","779,679","9,865,664","134,814","948,793","15,438",
="09:17:55","744,683","17,912,564","781,806","9,877,963","135,193","950,283","15,475",
="09:18:00","747,442","17,907,528","784,621","9,877,658","135,584","953,373","15,516",
="09:18:05","749,457","17,908,372","786,954","9,869,070","135,962","954,652","15,553",
="09:18:10","751,531","17,934,238","789,156","9,884,033","136,290","956,805","15,600",
="09:18:15","753,657","17,917,639","791,251","9,873,203","136,722","958,771","15,673",
="09:18:20","755,392","17,931,302","793,201","9,885,583","137,010","959,983","15,707",
="09:18:25","756,854","17,925,988","794,873","9,877,649","137,307","960,885","15,740",
="09:18:30","758,289","17,947,852","796,541","9,905,521","137,612","962,292","15,776",
="09:18:35","759,834","17,940,235","798,329","9,900,745","137,940","963,545","15,807",
="09:18:40","761,856","17,945,573","800,609","9,894,350","138,284","964,913","15,852",
="09:18:45","763,470","17,953,259","802,339","9,903,542","138,654","967,059","15,949",
="09:18:50","765,169","17,956,777","804,210","9,911,147","139,014","969,112","16,003",
="09:18:55","767,845","17,927,266","806,940","9,878,158","139,378","970,732","16,053",
="09:19:00","769,190","17,946,240","808,736","9,905,650","139,725","972,343","16,096",
="09:19:05","770,801","17,971,930","810,678","9,909,969","140,118","976,277","16,151",
="09:19:10","772,857","17,956,064","812,846","9,915,391","140,475","977,932","16,196",
="09:19:15","774,430","17,984,223","814,614","9,919,446","140,811","979,610","16,253",
="09:19:20","776,234","17,969,211","816,538","9,915,256","141,190","981,652","16,328",
="09:19:25","777,815","17,970,732","818,348","9,911,273","141,582","984,202","16,386",
="09:19:30","779,161","17,986,894","819,979","9,920,552","141,907","985,603","16,421",
="09:19:35","780,747","17,985,951","821,745","9,924,325","142,173","986,785","16,449",
="09:19:40","782,047","17,983,628","823,494","9,925,559","142,475","987,702","16,477",
="09:19:45","783,467","18,011,051","825,321","9,941,870","142,809","989,406","16,517",
="09:19:50","784,765","18,008,587","826,849","9,943,240","143,122","991,043","16,569",
="09:19:55","786,403","18,006,705","828,851","9,935,588","143,434","992,135","16,606",
="09:20:00","787,807","18,016,273","830,724","9,938,299","143,804","993,391","16,674",
="09:20:05","790,144","17,998,040","833,231","9,920,896","144,375","997,446","16,729",
="09:20:10","791,858","18,025,586","835,199","9,952,853","144,736","1,000,412","16,764",
="09:20:15","794,095","18,004,215","837,575","9,940,415","145,090","1,003,399","16,804",
="09:20:20","796,435","17,985,116","840,272","9,923,489","145,432","1,006,530","16,843",
="09:20:25","798,284","17,985,638","842,306","9,940,399","145,752","1,007,745","16,876",
="09:20:30","800,071","17,984,667","844,205","9,956,562","146,045","1,009,102","16,911",
="09:20:35","801,974","18,002,228","846,273","9,959,033","146,362","1,011,091","16,946",
="09:20:40","803,891","18,008,202","848,600","9,958,623","146,658","1,013,785","16,973",
="09:20:45","805,493","18,002,201","850,428","9,967,547","147,022","1,017,397","17,016",
="09:20:50","807,829","17,997,523","852,751","9,960,404","147,394","1,022,331","17,057",
="09:20:55","809,812","18,002,836","854,944","9,958,754","147,753","1,025,779","17,095",
="09:21:00","811,904","18,033,156","857,421","9,963,831","148,070","1,029,753","17,132",
="09:21:05","813,780","18,033,979","859,530","9,983,804","148,364","1,032,733","17,161",
="09:21:10","815,693","18,024,016","861,594","9,988,563","148,665","1,035,451","17,193",
="09:21:15","817,853","18,021,204","863,815","9,989,423","149,066","1,039,071","17,243",
="09:21:20","819,375","18,049,875","865,848","9,993,337","149,404","1,042,100","17,275",
="09:21:25","821,246","18,021,202","867,999","9,986,841","149,756","1,043,984","17,319",
="09:21:30","823,395","18,052,172","870,240","9,985,595","150,007","1,045,950","17,350",
="09:21:35","824,891","18,059,085","872,082","10,004,025","150,297","1,048,732","17,389",
="09:21:40","826,622","18,067,153","874,280","10,007,582","150,589","1,051,121","17,415",
="09:21:45","828,740","18,058,765","876,711","9,995,668","150,934","1,052,942","17,448",
="09:21:50","830,665","18,050,507","879,119","9,994,174","151,323","1,054,340","17,497",
="09:21:55","833,050","18,056,803","881,955","10,002,208","151,789","1,058,089","17,551",
="09:22:00","834,949","18,023,789","883,977","10,007,398","152,264","1,065,374","17,614",
="09:22:05","836,569","18,019,347","885,961","10,009,401","152,597","1,068,187","17,641",
="09:22:10","838,251","18,080,029","888,195","10,022,073","152,967","1,069,995","17,684",
="09:22:15","839,810","18,093,005","890,459","10,023,699","153,291","1,071,671","17,717",
="09:22:20","841,614","18,087,164","892,795","10,030,043","153,760","1,073,980","17,785",
="09:22:25","843,925","18,060,180","895,544","10,025,627","154,137","1,076,620","17,850",
="09:22:30","845,730","18,072,361","897,841","10,026,018","154,557","1,079,632","17,909",
="09:22:35","847,706","18,063,978","900,244","10,041,556","155,011","1,084,592","17,989",
="09:22:40","849,495","18,061,241","902,367","10,044,846","155,455","1,087,824","18,058",
="09:22:45","851,753","18,069,274","904,985","10,065,503","155,808","1,090,331","18,107",
="09:22:50","853,661","18,086,155","907,420","10,071,300","156,260","1,094,851","18,159",
="09:22:55","855,655","18,068,857","909,772","10,049,199","156,661","1,097,591","18,204",
="09:23:00","857,768","18,056,200","912,331","10,033,896","157,046","1,100,275","18,243",
="09:23:05","859,958","18,076,023","914,801","10,038,053","157,368","1,103,938","18,283",
="09:23:10","862,042","18,083,668","917,354","10,051,613","157,764","1,107,515","18,331",
="09:23:15","863,938","18,096,234","919,560","10,072,712","158,134","1,109,099","18,382",
="09:23:20","866,261","18,095,771","922,241","10,086,358","158,487","1,112,480","18,422",
="09:23:25","867,837","18,136,229","924,157","10,094,373","158,827","1,114,492","18,461",
="09:23:30","869,715","18,155,087","926,311","10,110,362","159,223","1,118,356","18,510",
="09:23:35","871,523","18,138,241","928,305","10,106,950","159,583","1,121,297","18,560",
="09:23:40","873,661","18,130,266","930,807","10,089,463","159,910","1,122,289","18,593",
="09:23:45","875,280","18,123,121","932,823","10,103,258","160,242","1,125,279","18,631",
="09:23:50","877,348","18,096,470","935,276","10,096,197","160,672","1,128,042","18,674",
="09:23:55","879,059","18,141,790","937,264","10,111,767","161,010","1,129,332","18,708",
="09:24:00","880,485","18,151,649","938,926","10,116,085","161,355","1,131,302","18,756",
="09:24:05","881,714","18,165,720","940,380","10,131,325","161,694","1,133,473","18,797",
="09:24:10","883,140","18,094,468","942,091","10,092,013","162,003","1,134,567","18,830",
="09:24:15","885,143","18,169,146","944,395","10,119,740","162,310","1,136,532","18,861",
="09:24:20","887,090","18,170,249","946,581","10,118,989","162,654","1,138,747","18,899",
="09:24:25","889,129","18,166,011","948,849","10,137,011","162,928","1,140,070","18,926",
="09:24:30","891,423","18,135,231","951,400","10,114,836","163,282","1,142,468","18,965",
="09:24:35","893,504","18,140,573","953,673","10,118,032","163,624","1,143,989","19,005",
="09:24:40","895,159","18,135,205","955,600","10,129,652","164,005","1,148,058","19,043",
="09:24:45","896,343","18,156,316","957,251","10,141,523","164,344","1,149,754","19,072",
="09:24:50","898,308","18,175,011","959,516","10,144,684","164,735","1,151,937","19,108",
="09:24:55","899,866","18,184,652","961,330","10,149,702","165,065","1,153,442","19,139",
="09:25:00","901,468","18,192,063","963,350","10,153,638","165,434","1,154,857","19,177",
="09:25:05","904,205","18,176,378","966,288","10,114,151","166,034","1,159,697","19,240",
="09:25:10","906,801","18,189,744","969,400","10,132,445","166,404","1,161,258","19,286",
="09:25:15","909,009","18,195,038","971,869","10,138,942","166,875","1,164,554","19,343",
="09:25:20","911,765","18,203,239","974,814","10,153,923","167,310","1,166,725","19,391",
="09:25:25","913,671","18,224,152","977,249","10,170,723","167,786","1,169,647","19,435",
="09:25:30","915,617","18,231,664","979,463","10,167,846","168,175","1,170,959","19,472",
="09:25:35","917,736","18,254,035","981,870","10,184,723","168,645","1,173,837","19,517",
="09:25:40","919,718","18,264,962","984,340","10,179,109","169,139","1,178,393","19,558",
="09:25:45","921,714","18,246,916","986,661","10,184,502","169,597","1,181,128","19,602",
="09:25:50","924,139","18,244,822","989,488","10,189,039","170,126","1,187,693","19,663",
="09:25:55","926,039","18,243,605","991,856","10,198,667","170,546","1,189,561","19,707",
="09:26:00","928,018","18,260,822","994,037","10,206,863","170,900","1,190,980","19,751",
="09:26:05","929,662","18,267,891","995,974","10,227,254","171,940","1,196,194","19,836",
="09:26:10","931,762","18,264,459","998,190","10,234,611","172,384","1,198,813","19,879",
="09:26:15","934,165","18,264,459","1,001,147","10,240,198","172,781","1,201,755","19,934",
="09:26:20","936,066","18,324,173","1,003,451","10,253,129","173,138","1,203,781","19,978",
="09:26:25","937,846","18,346,821","1,005,516","10,268,874","173,523","1,206,362","20,026",
="09:26:30","939,132","18,348,869","1,007,225","10,275,946","173,888","1,207,647","20,070",
="09:26:35","941,076","18,361,158","1,009,678","10,272,497","174,274","1,209,374","20,114",
="09:26:40","943,633","18,382,067","1,012,499","10,277,661","174,710","1,213,108","20,175",
="09:26:45","945,736","18,374,507","1,014,972","10,288,034","175,174","1,215,634","20,242",
="09:26:50","947,801","18,402,314","1,017,427","10,297,540","175,699","1,218,545","20,293",
="09:26:55","950,082","18,402,648","1,019,782","10,293,354","176,158","1,220,192","20,336",
="09:27:00","951,508","18,438,459","1,021,742","10,309,221","176,495","1,221,666","20,374",
="09:27:05","953,362","18,429,446","1,023,810","10,306,142","176,852","1,223,754","20,425",
="09:27:10","955,588","18,434,762","1,026,178","10,312,084","177,197","1,225,174","20,476",
="09:27:15","957,713","18,468,722","1,028,577","10,314,031","177,473","1,226,581","20,507",
="09:27:20","959,288","18,476,582","1,030,434","10,327,761","177,777","1,228,963","20,534",
="09:27:25","960,866","18,497,605","1,032,310","10,345,328","178,091","1,230,462","20,568",
="09:27:30","962,732","18,479,175","1,034,448","10,332,836","178,398","1,232,771","20,606",
="09:27:35","964,879","18,494,093","1,036,820","10,334,123","178,729","1,235,691","20,646",
="09:27:40","966,328","18,489,113","1,038,595","10,327,741","179,127","1,237,510","20,688",
="09:27:45","967,492","18,482,253","1,040,144","10,347,652","179,413","1,239,085","20,712",
="09:27:50","968,783","18,505,681","1,041,816","10,354,650","179,772","1,241,127","20,749",
="09:27:55","970,755","18,481,684","1,044,190","10,346,871","180,193","1,242,829","20,800",
="09:28:00","972,101","18,514,247","1,045,841","10,361,588","180,584","1,245,166","20,846",
="09:28:05","974,439","18,505,872","1,047,949","10,315,242","180,909","1,247,091","20,885",
="09:28:10","976,219","18,568,944","1,049,865","10,368,430","181,228","1,248,724","20,918",
="09:28:15","978,051","18,612,586","1,051,865","10,398,841","181,617","1,252,696","20,966",
="09:28:20","979,524","18,622,232","1,053,411","10,394,292","181,969","1,256,111","21,007",
